17:24:04,Erde,Heizung Aus,Duengerpumpe An
17:24:04,Wasser,Heizung An,Laugenmotor aus
17:24:04,Luft,Heizung Aus,Luefter ein
17:24:04,Licht,Licht ein
17:24:04,Licht,Licht aus
17:24:04,Licht,Licht ein
17:24:04,Licht,Licht aus
17:24:31,Erde,Heizung Aus,Duengerpumpe An
17:24:31,Licht,Licht ein
17:24:31,Wasser,Heizung An,Laugenmotor aus
17:24:31,Luft,Heizung Aus,Luefter ein
17:24:31,Licht,Licht aus
17:24:31,Licht,Licht ein
17:25:37,Wasser,Heizung An,Laugenmotor aus
17:24:31,Licht,Licht aus
17:25:37,Erde,Heizung Aus,Duengerpumpe An
17:25:37,Luft,Heizung Aus,Luefter ein
17:25:42,Wasser,Heizung An,Laugenmotor aus
17:25:42,Erde,Heizung Aus,Duengerpumpe An
17:25:42,Luft,Heizung Aus,Luefter ein
17:25:47,Wasser,Heizung An,Laugenmotor aus
17:25:47,Erde,Heizung Aus,Duengerpumpe An
17:25:47,Luft,Heizung Aus,Luefter ein
17:25:52,Wasser,Heizung An,Laugenmotor aus
17:25:52,Erde,Heizung Aus,Duengerpumpe An
17:25:52,Luft,Heizung Aus,Luefter ein
17:26:14,Wasser,Heizung An,Laugenmotor aus
17:26:14,Luft,Heizung Aus,Luefter ein
17:26:14,Erde,Heizung Aus,Duengerpumpe An
17:26:37,Wasser,Heizung An,Laugenmotor aus
17:26:37,Erde,Heizung Aus,Duengerpumpe An
17:26:37,Luft,Heizung Aus,Luefter ein
17:26:42,Wasser,Heizung An,Laugenmotor aus
17:26:42,Erde,Heizung Aus,Duengerpumpe An
17:26:42,Luft,Heizung Aus,Luefter ein
17:26:47,Wasser,Heizung An,Laugenmotor aus
17:26:47,Erde,Heizung Aus,Duengerpumpe An
17:26:47,Luft,Heizung Aus,Luefter ein
17:26:52,Wasser,Heizung An,Laugenmotor aus
17:26:52,Erde,Heizung Aus,Duengerpumpe An
17:26:52,Luft,Heizung Aus,Luefter ein
17:26:57,Wasser,Heizung An,Laugenmotor aus
17:26:57,Erde,Heizung Aus,Duengerpumpe An
17:26:57,Luft,Heizung Aus,Luefter ein
17:26:37,Licht,Licht ein
17:27:02,Wasser,Heizung An,Laugenmotor aus
17:27:02,Erde,Heizung Aus,Duengerpumpe An
17:27:02,Luft,Heizung Aus,Luefter ein
17:27:07,Wasser,Heizung An,Laugenmotor aus
17:27:07,Erde,Heizung Aus,Duengerpumpe An
17:27:07,Luft,Heizung Aus,Luefter ein
17:27:12,Wasser,Heizung An,Laugenmotor aus
17:27:12,Erde,Heizung Aus,Duengerpumpe An
17:27:12,Luft,Heizung Aus,Luefter ein
17:27:17,Wasser,Heizung An,Laugenmotor aus
17:27:17,Erde,Heizung Aus,Duengerpumpe An
17:27:17,Luft,Heizung Aus,Luefter ein
17:27:22,Wasser,Heizung An,Laugenmotor aus
17:27:22,Erde,Heizung Aus,Duengerpumpe An
17:27:22,Luft,Heizung Aus,Luefter ein
17:27:27,Wasser,Heizung An,Laugenmotor aus
17:27:27,Erde,Heizung Aus,Duengerpumpe An
17:27:27,Luft,Heizung Aus,Luefter ein
17:27:32,Wasser,Heizung An,Laugenmotor aus
17:27:32,Erde,Heizung Aus,Duengerpumpe An
17:27:32,Luft,Heizung Aus,Luefter ein
17:27:37,Wasser,Heizung An,Laugenmotor aus
17:27:37,Erde,Heizung Aus,Duengerpumpe An
17:27:37,Luft,Heizung Aus,Luefter ein
17:27:45,Wasser,Heizung An,Alle PH motoren aus
17:27:45,Erde,Heizung Aus,Duengerpumpe An
17:27:45,Luft,Heizung Aus,Luefter ein
17:27:50,Wasser,Heizung An,Alle PH motoren aus
17:27:50,Erde,Heizung Aus,Duengerpumpe An
17:27:50,Luft,Heizung Aus,Luefter ein
17:27:55,Wasser,Heizung An,Alle PH motoren aus
17:27:55,Erde,Heizung Aus,Duengerpumpe An
17:27:55,Luft,Heizung Aus,Luefter ein
17:28:11,Wasser,Heizung An,Alle PH motoren aus
17:28:11,Erde,Heizung Aus,Duengerpumpe An
17:28:11,Luft,Heizung Aus,Luefter ein
17:28:16,Wasser,Heizung An,Alle PH motoren aus
17:28:16,Erde,Heizung Aus,Duengerpumpe An
17:28:16,Luft,Heizung Aus,Luefter ein
17:28:21,Wasser,Heizung An,Alle PH motoren aus
17:28:21,Erde,Heizung Aus,Duengerpumpe An
17:28:21,Luft,Heizung Aus,Luefter ein
17:28:38,Wasser,Heizung An,Alle PH motoren aus
17:28:38,Erde,Heizung Aus,Duengerpumpe An
17:28:38,Luft,Heizung Aus,Luefter ein
17:28:43,Wasser,Heizung An,Alle PH motoren aus
17:28:43,Erde,Heizung Aus,Duengerpumpe An
17:28:43,Luft,Heizung Aus,Luefter ein
17:28:48,Wasser,Heizung An,Alle PH motoren aus
17:28:48,Erde,Heizung Aus,Duengerpumpe An
17:28:48,Luft,Heizung Aus,Luefter ein
17:28:53,Wasser,Heizung An,Alle PH motoren aus
17:28:53,Erde,Heizung Aus,Duengerpumpe An
17:28:53,Luft,Heizung Aus,Luefter ein
17:28:58,Wasser,Heizung An,Alle PH motoren aus
17:28:58,Erde,Heizung Aus,Duengerpumpe An
17:28:58,Luft,Heizung Aus,Luefter ein
17:29:03,Wasser,Heizung An,Alle PH motoren aus
17:29:03,Erde,Heizung Aus,Duengerpumpe An
17:29:03,Luft,Heizung Aus,Luefter ein
17:32:41,Wasser,Heizung An,Laugenmotor aus
17:32:41,Erde,Heizung Aus,Duengerpumpe An
17:32:41,Licht,Licht ein
17:32:41,Luft,Heizung Aus,Luefter ein
17:32:46,Wasser,Heizung An,Laugenmotor aus
17:32:46,Erde,Heizung Aus,Duengerpumpe An
17:32:46,Luft,Heizung Aus,Luefter ein
17:32:51,Wasser,Heizung An,Laugenmotor aus
17:32:51,Erde,Heizung Aus,Duengerpumpe An
17:32:51,Luft,Heizung Aus,Luefter ein
17:32:56,Wasser,Heizung An,Laugenmotor aus
17:32:56,Erde,Heizung Aus,Duengerpumpe An
17:32:56,Luft,Heizung Aus,Luefter ein
17:33:01,Wasser,Heizung An,Laugenmotor aus
17:33:01,Erde,Heizung Aus,Duengerpumpe An
17:33:01,Luft,Heizung Aus,Luefter ein
17:33:06,Wasser,Heizung An,Laugenmotor aus
17:33:06,Erde,Heizung Aus,Duengerpumpe An
17:33:06,Luft,Heizung Aus,Luefter ein
17:33:11,Wasser,Heizung An,Laugenmotor aus
17:33:11,Erde,Heizung Aus,Duengerpumpe An
17:33:11,Luft,Heizung Aus,Luefter ein
17:33:16,Wasser,Heizung An,Laugenmotor aus
17:33:16,Erde,Heizung Aus,Duengerpumpe An
17:33:16,Luft,Heizung Aus,Luefter ein
17:33:21,Wasser,Heizung An,Laugenmotor aus
17:33:21,Erde,Heizung Aus,Duengerpumpe An
17:33:21,Luft,Heizung Aus,Luefter ein
17:33:26,Wasser,Heizung Aus,Laugenmotor aus
17:33:26,Erde,Heizung An,Duengerpumpe An
17:33:26,Luft,Heizung Aus,Luefter ein
17:33:31,Wasser,Heizung Aus,Laugenmotor aus
17:33:31,Erde,Heizung An,Duengerpumpe An
17:33:31,Luft,Heizung Aus,Luefter ein
17:33:36,Wasser,Heizung Aus,Laugenmotor aus
17:33:36,Erde,Heizung An,Duengerpumpe An
17:33:36,Luft,Heizung Aus,Luefter ein
17:33:41,Wasser,Heizung Aus,Laugenmotor aus
17:33:41,Erde,Heizung An,Duengerpumpe An
17:33:41,Luft,Heizung Aus,Luefter ein
17:33:46,Wasser,Heizung Aus,Laugenmotor aus
17:33:46,Erde,Heizung An,Duengerpumpe An
17:33:46,Luft,Heizung Aus,Luefter ein
17:33:51,Wasser,Heizung Aus,Laugenmotor aus
17:33:51,Erde,Heizung An,Duengerpumpe An
17:33:51,Luft,Heizung Aus,Luefter ein
17:33:56,Wasser,Heizung Aus,Laugenmotor aus
17:33:56,Erde,Heizung An,Duengerpumpe An
17:33:56,Luft,Heizung Aus,Luefter ein
17:34:22,Wasser,Heizung Aus,Laugenmotor aus
17:34:22,Licht,Licht ein
17:34:22,Erde,Heizung An,Duengerpumpe An
17:34:22,Luft,Heizung Aus,Luefter ein
17:36:28,Wasser,Heizung Aus,Laugenmotor aus
17:36:28,Erde,Heizung An,Duengerpumpe An
17:36:28,Luft,Heizung Aus,Luefter ein
17:36:33,Wasser,Heizung Aus,Laugenmotor aus
17:36:33,Erde,Heizung An,Duengerpumpe An
17:36:33,Luft,Heizung Aus,Luefter ein
17:36:38,Wasser,Heizung Aus,Laugenmotor aus
17:36:38,Erde,Heizung An,Duengerpumpe An
17:36:38,Luft,Heizung Aus,Luefter ein
17:36:43,Wasser,Heizung Aus,Laugenmotor aus
17:36:43,Erde,Heizung An,Duengerpumpe An
17:36:43,Luft,Heizung Aus,Luefter ein
17:36:48,Wasser,Heizung Aus,Laugenmotor aus
17:36:48,Erde,Heizung An,Duengerpumpe An
17:36:48,Luft,Heizung Aus,Luefter ein
17:36:53,Wasser,Heizung Aus,Laugenmotor aus
17:36:53,Erde,Heizung An,Duengerpumpe An
17:36:53,Luft,Heizung Aus,Luefter ein
17:36:58,Wasser,Heizung Aus,Laugenmotor aus
17:36:58,Erde,Heizung An,Duengerpumpe An
17:36:58,Luft,Heizung Aus,Luefter ein
17:37:00,Wasser,Heizung Aus,Laugenmotor aus
17:37:00,Erde,Heizung An,Duengerpumpe An
17:37:00,Luft,Heizung Aus,Luefter ein
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:37:00,Licht,Licht ein
17:37:00,Licht,Licht aus
17:45:20,Wasser,Heizung Aus,Laugenmotor aus
17:45:20,Erde,Heizung An,Duengerpumpe An
17:45:20,Licht,Licht ein
17:45:20,Luft,Heizung Aus,Luefter ein
17:45:20,Licht,Licht aus
17:46:42,Wasser,Heizung Aus,Laugenmotor aus
17:46:42,Erde,Heizung An,Duengerpumpe An
17:46:42,Luft,Heizung Aus,Luefter ein
17:46:42,Licht,Licht ein
17:50:04,Wasser,Heizung Aus,Laugenmotor aus
17:50:04,Licht,Licht ein
17:50:04,Erde,Heizung An,Duengerpumpe An
17:50:04,Luft,Heizung Aus,Luefter ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:50:04,Licht,Licht aus
17:50:04,Licht,Licht ein
17:51:30,Wasser,Heizung Aus,Laugenmotor aus
17:51:30,Erde,Heizung An,Duengerpumpe An
17:51:30,Licht,Licht ein
17:51:30,Luft,Heizung Aus,Luefter ein
17:51:30,Licht,Licht aus
17:51:30,Licht,Licht ein
17:51:30,Licht,Licht aus
17:51:30,Licht,Licht ein
17:51:54,Wasser,Heizung Aus,Laugenmotor aus
17:51:54,Licht,Licht ein
17:51:54,Luft,Heizung Aus,Luefter ein
17:51:54,Erde,Heizung An,Duengerpumpe An
17:51:54,Licht,Licht aus
18:24:36,Wasser,Heizung Aus,Laugenmotor aus
18:24:36,Erde,Heizung An,Duengerpumpe An
18:24:36,Luft,Heizung Aus,Luefter ein
18:39:24,Wasser,Heizung Aus,Laugenmotor aus
18:39:24,Erde,Heizung An,Duengerpumpe An
18:39:24,Luft,Heizung Aus,Luefter ein
